iter	Passed	Remaining
0	2	227
1	4	201
2	6	200
3	8	201
4	10	199
5	12	190
6	14	186
7	15	182
8	17	179
9	19	178
10	22	178
11	24	179
12	26	178
13	28	174
14	30	171
15	34	180
16	39	195
17	44	204
18	49	209
19	65	260
20	70	264
21	74	263
22	77	258
23	79	251
24	81	245
25	87	249
26	92	251
27	98	253
28	103	253
29	105	246
30	107	239
31	109	232
32	111	225
33	113	219
34	115	215
35	117	209
36	119	203
37	120	197
38	122	191
39	124	186
40	126	182
41	128	177
42	133	176
43	137	175
44	140	172
45	144	170
46	150	169
47	152	165
48	157	163
49	160	160
50	164	158
51	166	154
52	169	150
53	171	146
54	173	142
55	175	137
56	177	133
57	178	129
58	180	125
59	182	121
60	184	118
61	189	115
62	193	113
63	197	111
64	200	107
65	203	104
66	208	102
67	211	99
68	214	96
69	217	93
70	220	90
71	225	87
72	229	84
73	232	81
74	236	78
75	240	75
76	244	73
77	248	70
78	252	67
79	255	63
80	259	60
81	262	57
82	265	54
83	269	51
84	273	48
85	277	45
86	281	42
87	285	38
88	288	35
89	293	32
90	299	29
91	305	26
92	309	23
93	314	20
94	318	16
95	320	13
96	322	9
97	325	6
98	327	3
99	330	0
